nameseq,EIIP_Fourier_1,EIIP_Fourier_2,EIIP_Fourier_3,EIIP_Fourier_4,EIIP_Fourier_5,EIIP_Fourier_6,EIIP_Fourier_7,EIIP_Fourier_8,EIIP_Fourier_9,EIIP_Fourier_10,EIIP_Fourier_11,EIIP_Fourier_12,EIIP_Fourier_13,EIIP_Fourier_14,EIIP_Fourier_15,EIIP_Fourier_16,EIIP_Fourier_17,EIIP_Fourier_18,EIIP_Fourier_19,label
pre_sp|A5U8S5|COAX_MYCTA,24.83199948050001,14.465066915138935,1671.8947832161,0.0284139840634589,3.651202825526196,22.964763341644105,102.30765498022728,102.49624067940908,3.990890977414791,5.830026765698062,14.465066915138935,21.913751157855955,1671.8663692320365,10505.479353411354,16.083724392157894,8.041862196078947,4.119992635331967,0.3039928703486946,0.2270747229928442,Predicted
pre_sp|Q65JY2|MURD_BACLD,26.237220579899997,12.209509992304431,3226.7750781841,0.075214892174929,5.729773581600401,38.05299030577204,152.37744208067164,152.5466563938671,2.7975014320715426,5.858453747680065,12.209509992304431,26.801659255981832,3226.699863291925,23270.482376948552,20.94320550830177,10.471602754150885,5.807682319727346,0.27617691430013,0.2270412388902029,Predicted
pre_sp|Q8DPJ8|RNC_STRR6,14.663473016200006,8.548325336004456,958.0795421796,0.0140343117578667,5.273875653325546,25.55667976637752,62.822858307031694,62.95869167276416,1.529313725416891,3.286395271420475,8.548325336004456,14.502099562782444,958.065507867842,3963.796857146184,11.21570429136197,5.607852145680985,4.284309606436746,0.2920185985637216,0.2531676191861052,Predicted
pre_sp|Q88VH0|APT_LACPL,10.787935697600002,6.040622471286489,507.6594796899999,0.0549024378968911,5.314578705366988,22.08394501525553,38.730907320371934,38.84399050210242,1.07422805970049,1.601317032320699,6.040622471286489,11.630490396781958,507.604577252103,1508.855598127423,10.02917336446126,5.01458668223063,3.590205615425426,0.3677151056941408,0.2722258675294704,Predicted
pre_sp|Q92EF1|KPRS2_LISIN,27.216248771800007,13.91726447760808,2160.2286526276007,0.0988327751438658,3.8089990849172577,24.716628428880146,122.64236570016278,122.84001669979187,4.692866258058587,6.365884000693808,13.91726447760808,27.37879279054844,2160.129819852457,15089.669702805146,21.01290878985463,10.506454394927315,4.506218572900396,0.3253113445325756,0.2519532417427235,Predicted
pre_sp|Q92BJ1|DTD_LISIN,10.3686991923,6.336584255801494,370.5590350081,0.0493316708034693,4.822205666563361,19.243072139203875,30.500919761287705,30.603100683220976,1.309798878407118,1.7531283501241126,6.336584255801494,11.672762040622567,370.5097033372965,936.54977142736,9.919633690498454,4.959816845249227,2.9416341621655198,0.3965895095677871,0.2658755792954359,Predicted
pre_sp|Q5HG25|DAPA_STAAC,13.841559607,7.540141216392387,1041.3283749444,0.0953788697893105,7.104209072191826,33.64305617750917,60.88899431572657,60.99245912155699,1.9413040282889216,2.90635514710437,7.540141216392387,14.24476350025892,1041.2329960746108,3720.080069694801,11.338408353154552,5.669204176577276,4.398998093028013,0.3104708064941746,0.2500995197778985,Predicted
pre_sp|Q65LE8|ARGB_BACLD,11.8568850412,6.400439469255336,893.6847175935999,0.2939026348511643,7.253169757585521,31.22366813047981,55.46897908048519,55.57679060899099,2.1125311093975965,3.2087306606825723,6.400439469255336,11.298631246559278,893.3908149587487,3088.7796543956288,8.089900585876705,4.044950292938353,4.678208390124641,0.2951079501946876,0.2497587060009636,Predicted
pre_sp|Q92BT5|MURB_LISIN,14.195649949600002,7.334830590890744,1166.3946223503997,0.083858945012331,6.997448773814847,33.74121174836578,67.7693756177053,67.88336960174965,1.8356864712547032,3.2839913672580647,7.334830590890744,12.938407938508458,1166.3107634053874,4608.151868487748,9.654416571250394,4.827208285625197,4.773953701191037,0.3037132611673412,0.2232570634167272,Predicted
pre_sp|O05515|TSAE_BACSU,10.4187955303,5.776166929823381,387.8453645640997,0.0992277708517864,5.054966911818278,19.745678370737785,30.965431180094274,31.06389066919679,1.9739702170361944,2.498400134525445,5.776166929823381,11.651293645643824,387.746136793248,964.9653035078117,9.152893511118378,4.576446755559189,2.9720739878271374,0.4497882080319041,0.2847274382194059,Predicted
