Feature	Importance
polarity.G2	0.030791
polarizability.G1	0.021775
hydrophobicity_PONP930101.G2	0.018535
hydrophobicity_ENGD860101.G2	0.017901
polarity.Tr1331	0.016295
polarizability.Tr2332	0.016066
hydrophobicity_PRAM900101.G2	0.012537
A-feat	0.011401
normwaalsvolume.G1	0.011292
hydrophobicity_ENGD860101.Tr1331	0.010935
normwaalsvolume.Tr2332	0.010676
charge.Tr1221	0.010009
hydrophobicity_PONP930101.Tr1221	0.009950
hydrophobicity_PONP930101.G3	0.009723
hydrophobicity_ENGD860101.Tr1221	0.009266
hydrophobicity_PRAM900101.G3	0.008875
polarity.Tr2332	0.008527
normwaalsvolume.Tr1221	0.007731
AA	0.007725
hydrophobicity_ZIMJ680101.G1	0.007609
solventaccess.G1	0.007379
polarity.G1	0.007325
hydrophobicity_PRAM900101.Tr1331	0.007212
hydrophobicity_FASG890101.G2	0.007028
G-feat	0.006702
polarizability.Tr1221	0.006591
normwaalsvolume.G3	0.006429
alphaticr.alphaticr.gap3	0.006376
hydrophobicity_PONP930101.Tr1331	0.005934
hydrophobicity_ZIMJ680101.G3	0.005735
polarizability.G3	0.005376
polarity.G3	0.005106
hydrophobicity_ENGD860101.G3	0.004963
charge.G1	0.004950
ChargeDensity	0.004642
solventaccess.G2	0.004487
hydrophobicity_ARGP820101.G3	0.004440
hydrophobicity_CASG920101.Tr1331	0.004153
pI	0.004048
alphaticr.alphaticr.gap5	0.004035
hydrophobicity_FASG890101.Tr1331	0.003992
hydrophobicity_CASG920101.G3	0.003844
alphaticr.alphaticr.gap4	0.003579
hydrophobicity_PRAM900101.G1	0.003567
alphaticr.alphaticr.gap1	0.003238
E-feat	0.003040
Charge	0.002931
negativecharger.alphaticr.gap5	0.002906
uncharger.postivecharger.gap2	0.002812
Autocorr_w1	0.002735
alphaticr.alphaticr.alphaticr	0.002712
aromatic.uncharger.gap3	0.002626
postivecharger.uncharger.gap0	0.002591
EG	0.002551
VA	0.002544
GV	0.002534
alphaticr.negativecharger.gap4	0.002496
alphaticr.alphaticr.gap2	0.002337
hydrophobicity_ENGD860101.Tr2332	0.002304
alphaticr.negativecharger.gap2	0.002265
negativecharger.alphaticr.gap2	0.002194
Crosscorr_w1	0.002043
charge.G3	0.002036
hydrophobicity_PRAM900101.Tr1221	0.002028
HM	0.001972
VE	0.001903
hydrophobicity_ENGD860101.G1	0.001869
KL	0.001828
postivecharger.postivecharger.gap1	0.001804
negativecharger.aromatic.gap3	0.001788
hydrophobicity_PRAM900101.Tr2332	0.001782
alphaticr.alphaticr.postivecharger	0.001781
hydrophobicity_PONP930101.3.residue75	0.001777
I-feat	0.001775
hydrophobicity_FASG890101.Tr1221	0.001765
hydrophobicity_FASG890101.G1	0.001748
QI	0.001655
hydrophobicity_CASG920101.G2	0.001653
VC	0.001608
postivecharger.uncharger.gap3	0.001595
Q-feat	0.001591
LW	0.001587
uncharger.aromatic.gap0	0.001583
edge_betweenness.2-mer	0.001567
ML	0.001558
hydrophobicity_PRAM900101.2.residue0	0.001558
hydrophobicity_ARGP820101.Tr1221	0.001558
KG	0.001552
KK	0.001552
negativecharger.alphaticr.gap3	0.001533
polarity.Tr1221	0.001530
negativecharger.alphaticr.aromatic	0.001526
AE	0.001506
QK	0.001496
RG	0.001495
secondarystruct.2.residue25	0.001480
VQ	0.001469
WL	0.001453
aromatic.alphaticr.gap2	0.001432
hydrophobicity_PONP930101.G1	0.001428
hydrophobicity_FASG890101.Tr2332	0.001406
uncharger.postivecharger.gap0	0.001390
negativecharger.negativecharger.gap5	0.001386
GG	0.001383
uncharger.postivecharger.gap3	0.001379
postivecharger.postivecharger.gap2	0.001368
negativecharger.alphaticr.gap0	0.001363
uncharger.postivecharger.aromatic	0.001362
MH	0.001348
hydrophobicity_ZIMJ680101.Tr2332	0.001344
GA	0.001339
solventaccess.1.residue25	0.001327
Global Avg	0.001317
secondarystruct.3.residue25	0.001316
negativecharger.alphaticr.gap4	0.001314
edge_betweenness.3-mer	0.001313
postivecharger.uncharger.gap2	0.001312
alphaticr.negativecharger.gap3	0.001303
hydrophobicity_PRAM900101.1.residue0	0.001299
RK	0.001298
alphaticr.alphaticr.gap0	0.001296
charge.Tr2332	0.001295
AT	0.001291
hydrophobicity_ENGD860101.3.residue0	0.001286
AQ	0.001279
EF	0.001271
aromatic.postivecharger.gap1	0.001270
LN	0.001251
VW	0.001242
hydrophobicity_ARGP820101.Tr2332	0.001238
TC	0.001230
uncharger.uncharger.gap5	0.001211
uncharger.aromatic.uncharger	0.001211
V-feat	0.001209
TA	0.001205
LT	0.001200
number_vertices.2-mer	0.001196
C-feat	0.001194
PA	0.001193
DA	0.001182
Burts_constraint.3-mer	0.001179
solventaccess.1.residue75	0.001171
AliphaticInd	0.001171
DP	0.001170
IC	0.001168
postivecharger.uncharger.gap5	0.001157
negativecharger.aromatic.gap2	0.001149
hydrophobicity_PONP930101.2.residue75	0.001148
postivecharger.aromatic.gap1	0.001147
avg_degree.3-mer	0.001145
alphaticr.aromatic.gap4	0.001131
DS	0.001130
KQ	0.001129
alphaticr.postivecharger.gap0	0.001122
PP	0.001119
negativecharger.negativecharger.gap3	0.001108
solventaccess.1.residue0	0.001107
