nameseq,k1,k2,k3,k4,k5,label
pre_0_train_ACP_1,0.8366407419411673,1.6105772433316423,2.1339375660949167,2.584962500721156,2.845350936622437,acp
pre_1_train_ACP_2,1.0,,,,,acp
pre_2_train_ACP_3,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_3_train_ACP_4,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_4_train_ACP_5,1.3709505944546687,2.0,1.584962500721156,1.0,,acp
pre_5_train_ACP_6,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_6_train_ACP_7,0.9709505944546686,1.0,0.9182958340544896,1.0,,acp
pre_7_train_ACP_8,0.9182958340544896,1.0,,,,acp
pre_8_train_ACP_9,1.9925718623777007,3.5581573285181993,4.349199939349345,4.773557262275186,4.857980995127571,acp
pre_9_train_ACP_10,,,,,,acp
nameseq,k1,k2,k3,k4,k5,label
pre_0_train_U00096.3/3982510-3982582,1.9714855708599561,3.8378926702904477,5.258420182671661,5.900711588373542,6.050553442285411,tRNA
pre_1_train_U00096.3/225500-225572,1.9438248388046238,3.719226381392068,5.218212394329783,5.889927481199779,6.021567935039033,tRNA
pre_2_train_U00096.3/225381-225454,1.970622280750471,3.8031633550867374,5.244519578066055,5.857424760319278,5.9864258740878284,tRNA
pre_3_train_U00096.3/262871-262943,1.992068984427444,3.8381173579317953,5.314758210840675,5.9864258740878284,6.079538949531787,tRNA
pre_4_train_U00096.3/3982375-3982448,1.904272937405039,3.660218869221145,5.1416041678685955,5.857424760319276,6.100711588373543,tRNA
pre_5_train_U00096.3/2947387-2947460,1.9221456479780858,3.7113878759815497,5.183542362433232,5.885593774403782,6.043568731230686,tRNA
pre_6_train_U00096.3/297178-297251,1.9804057923518918,3.8293766164211003,5.129732598809243,5.783549936406086,6.043568731230686,tRNA
pre_7_train_U00096.3/696740-696667,1.9984464470393264,3.8978213071382184,5.301462154039803,5.952564020913128,6.072140159802115,tRNA
pre_8_train_U00096.3/925971-925887,1.9529076210843859,3.8335180618271774,5.293730925782415,6.104443620445361,6.281147688043091,tRNA
pre_9_train_U00096.3/2785837-2785765,1.98560064653985,3.827408121649288,5.258420182671665,5.83278462405692,6.050553442285411,tRNA
