nameseq,EIIP_Fourier_1,EIIP_Fourier_2,EIIP_Fourier_3,EIIP_Fourier_4,EIIP_Fourier_5,EIIP_Fourier_6,EIIP_Fourier_7,EIIP_Fourier_8,EIIP_Fourier_9,EIIP_Fourier_10,EIIP_Fourier_11,EIIP_Fourier_12,EIIP_Fourier_13,EIIP_Fourier_14,EIIP_Fourier_15,EIIP_Fourier_16,EIIP_Fourier_17,EIIP_Fourier_18,EIIP_Fourier_19,label
pre_0_ACP_1,2.3569466772,0.7392743196999997,43.31903815840001,0.0177006454446737,4.667055095649324,10.178726353614914,7.350622432828671,7.464592367784842,0.288210073840627,0.414239399572717,0.7392743196999997,1.2526094069496356,43.301337512955335,55.72013921719172,0.8383700073769187,0.4191850036884593,3.118705443757025,0.6602185211997699,0.1575062634675232,Predicted
pre_1_ACP_2,0.4447572263999999,0.3035842349634829,2.0378133504,0.1189175166537899,9.743143171407578,7.093947393527048,0.481198073692866,0.5008468345075189,0.1826352162662813,0.1985646411694041,0.3035842349634829,0.3938798958322453,1.9188958337462096,0.250847551636202,0.1953152546628411,0.0976576273314205,1.08193424441426,0.8801343925991484,0.2190066079610324,Predicted
pre_2_ACP_3,0.4448687346999999,0.2861549553201043,2.0984129880999998,0.0338057690872093,11.988555089019464,9.14943265794104,0.5021076062072449,0.5185745058252618,0.0913086726390847,0.0999010118347711,0.2861549553201043,0.61015063467329,2.06460721901279,0.2689195180919144,0.5102496228385188,0.2551248114192594,1.1286646308058588,0.9482854516710096,0.3235838079599254,Predicted
pre_3_ACP_4,0.4448687346999998,0.2149184599693978,2.0984129880999998,0.0300318963898367,11.988555089019464,9.259376828924788,0.5228944238506908,0.5400430387729195,0.0788876805704908,0.0967957638176226,0.2149184599693978,0.5365114792880433,2.0683810917101626,0.291646483727089,0.4397157154704206,0.2198578577352103,1.1753903636390814,1.319292753423564,0.2275625097086034,Predicted
pre_4_ACP_5,0.4468440547000001,0.2597293361,2.1308700625,0.0362416918646776,11.935558450954437,8.859802673706117,0.479390005267896,0.495111868464226,0.1775876642747541,0.2228365957436885,0.2597293361,0.5189000329953221,2.0946283706353226,0.245135762294137,0.2960634372516335,0.1480317186258167,1.0728351428771867,1.1709550671301667,0.24140017657358,Predicted
pre_5_ACP_6,0.4448363586,0.2297825159490873,2.08196041,0.0152259297608477,11.989427640578958,9.606947121889233,0.5386596788219356,0.5563253240935446,0.0179937949192813,0.0788605095298203,0.2297825159490873,0.6303107542807188,2.0667344802391523,0.3094978662277875,0.5514502447508984,0.2757251223754492,1.210916482899956,1.1977163937046953,0.2614275207998906,Predicted
pre_6_ACP_7,0.583028205,0.4605614991422389,3.3575431696,0.0483073359603925,9.719369694415844,8.482160430131797,0.7468541697034439,0.7698396571550692,0.128966503895464,0.2379523677018813,0.4605614991422389,0.7170283896685065,3.3092358336396077,0.5926530977286344,0.4790760219666251,0.2395380109833125,1.2809914911465456,0.4919301953139904,0.2851824676816266,Predicted
pre_7_ACP_8,0.4522712975,0.3194967054176245,2.3872413049,0.1357665961494489,12.529352841955811,9.161513927158396,0.5076258218437055,0.5232487204381426,0.2020489694509483,0.2618463356605326,0.3194967054176245,0.4506373707256406,2.2514747087505507,0.2737892234401535,0.1887910350651079,0.0943955175325539,1.1223923000413387,0.7846798943371472,0.1862545799782737,Predicted
pre_8_ACP_9,10.143439313900004,5.152697875299269,270.43638050250007,0.0060999257901153,3.187610467489616,12.686380132883238,27.40046415383252,27.542805185181315,1.2055109769986387,2.375638831599439,5.152697875299269,10.702711089016868,270.43028057670995,758.6061174688507,8.327072257417429,4.1635361287087145,2.701299165489604,0.5464222880220089,0.2291701160679882,Predicted
pre_9_ACP_10,0.0151785421999999,0.0071595360111009,0.0849489316,0.0011866330926475,285.4907458328464,41.11147347724695,0.0211137109277956,0.0219758470804744,0.0044880946232895,0.00531346000595,0.0071595360111009,0.0177455571097436,0.0837622985073524,0.0004829378549043,0.0124320971037935,0.0062160485518967,1.3910236338635793,1.139402668198265,0.3685869018583863,Predicted
