nameseq,k-tsallis13.0,k-tsallis23.0,k-tsallis33.0,k-tsallis43.0,k-tsallis53.0,label
pre_0_ACP_1,0.4765840220385675,0.496856689453125,0.4988754993118727,0.49922222222222223,0.4992824634056337,Predicted
pre_1_ACP_2,0.4820209376422394,0.4965277777777778,0.49586776859504134,0.495,0.49382716049382713,Predicted
pre_2_ACP_3,0.488525390625,0.49777777777777776,0.49744897959183676,0.4970414201183432,0.4965277777777778,Predicted
pre_3_ACP_4,0.488525390625,0.49777777777777776,0.49744897959183676,0.4970414201183432,0.4965277777777778,Predicted
pre_4_ACP_5,0.488525390625,0.4968888888888889,0.49744897959183676,0.4970414201183432,0.4965277777777778,Predicted
pre_5_ACP_6,0.489990234375,0.496,0.4963556851311953,0.4970414201183432,0.4965277777777778,Predicted
pre_6_ACP_7,0.4884998982291879,0.49658203125,0.4968888888888889,0.49744897959183676,0.4970414201183432,Predicted
pre_7_ACP_8,0.48972114797476085,0.497314453125,0.49777777777777776,0.49744897959183676,0.4970414201183432,Predicted
pre_8_ACP_9,0.4962686526280497,0.4998508029513889,0.49994109928561015,0.4999434133091897,0.4999421898485374,Predicted
pre_9_ACP_10,0.4547109695038689,0.4774305555555556,0.49361382419233657,0.495,0.49382716049382713,Predicted
