nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
pre_0_ACP_1,0.6773847910705977,0.7448887017588243,0.755984515283799,0.7581859989123367,0.7585975097253062,Predicted
pre_1_ACP_2,0.6929512415564869,0.7388134435495928,0.7351706505436485,0.7306779051055946,0.7250186446177961,Predicted
pre_2_ACP_3,0.7071503054342728,0.7464725639265809,0.7443370262491382,0.7418194277662505,0.7388134435495928,Predicted
pre_3_ACP_4,0.7071503054342728,0.7464725639265809,0.7443370262491382,0.7418194277662505,0.7388134435495928,Predicted
pre_4_ACP_5,0.7071503054342728,0.7420353546823372,0.7443370262491382,0.7418194277662505,0.7388134435495928,Predicted
pre_5_ACP_6,0.7119429730150718,0.7375981454380934,0.7391367630753485,0.7418194277662505,0.7388134435495928,Predicted
pre_6_ACP_7,0.7093721818660941,0.7406538544773982,0.7420353546823372,0.7443370262491382,0.7418194277662505,Predicted
pre_7_ACP_8,0.7135410748640488,0.7444789637375439,0.7464725639265809,0.7443370262491382,0.7418194277662505,Predicted
pre_8_ACP_9,0.7391623600658105,0.7657388617967477,0.7671017280459209,0.7671367028810868,0.7671073838910587,Predicted
pre_9_ACP_10,0.6180625817953975,0.6800673402712212,0.7261150630905746,0.7306779051055946,0.7250186446177961,Predicted
