nameseq,k-tsallis14.0,k-tsallis24.0,k-tsallis34.0,k-tsallis44.0,k-tsallis54.0,label
pre_0_ACP_1,0.3287267870288155,0.33307902018229163,0.3332838848999283,0.3333094650205761,0.3333130679319818,Predicted
pre_1_ACP_2,0.3300771448245276,0.3331404320987654,0.3330828950663661,0.33299999999999996,0.33287608596250573,Predicted
pre_2_ACP_3,0.3319905598958333,0.3332345679012345,0.3332118561710398,0.3331816112881201,0.3331404320987654,Predicted
pre_3_ACP_4,0.3319905598958333,0.3332345679012345,0.3332118561710398,0.3331816112881201,0.3331404320987654,Predicted
pre_4_ACP_5,0.3319905598958333,0.3331423868312757,0.3332118561710398,0.3331816112881201,0.3331404320987654,Predicted
pre_5_ACP_6,0.332244873046875,0.33305020576131683,0.33309037900874633,0.3331816112881201,0.3331404320987654,Predicted
pre_6_ACP_7,0.33183670374317037,0.33310953776041663,0.3331423868312757,0.3332118561710398,0.3331816112881201,Predicted
pre_7_ACP_8,0.3320362543551921,0.3331807454427083,0.3332345679012345,0.3332118561710398,0.3331816112881201,Predicted
pre_8_ACP_9,0.3330841841281116,0.33333080590016556,0.33333288725531574,0.33333293200928504,0.3333329189236454,Predicted
pre_9_ACP_10,0.3228411703605149,0.32886445473251025,0.3327641554538624,0.33299999999999996,0.33287608596250573,Predicted
