nameseq,Autocorr_w1,Autocorr_w2,Autocorr_w3,Autocorr_w4,Autocorr_w5,Autocorr_w6,Autocorr_w7,Crosscorr_w1,Crosscorr_w2,Crosscorr_w3,Crosscorr_w4,Crosscorr_w5,Crosscorr_w6,Crosscorr_w7,Moment,Global Avg,label
pre_0_ACP_1,0.8795060606060603,-0.08449999999999992,-0.288858064516129,0.042053333333333304,0.4602827586206896,-0.2472071428571427,-0.22341481481481473,0.8795060606060603,-0.08449999999999992,-0.288858064516129,0.042053333333333304,0.4602827586206896,-0.2472071428571427,-0.22341481481481473,0.2774594853118652,0.1475757575757576,Predicted
pre_1_ACP_2,1.3072923076923075,-0.01596666666666663,-0.8552363636363634,0.47940000000000016,0.881111111111111,-0.7545,-0.6622857142857143,1.3072923076923075,-0.01596666666666663,-0.8552363636363634,0.47940000000000016,0.881111111111111,-0.7545,-0.6622857142857143,0.6893304784278844,0.3215384615384615,Predicted
pre_2_ACP_3,1.067375,0.20328000000000002,-0.32617142857142867,0.2960615384615385,0.4271333333333334,-0.3241818181818182,-0.23039999999999994,1.067375,0.20328000000000002,-0.32617142857142867,0.2960615384615385,0.4271333333333334,-0.3241818181818182,-0.23039999999999994,0.4942223886681905,0.44875,Predicted
pre_3_ACP_4,1.067375,0.19728,-0.3148857142857143,0.2876000000000001,0.4054666666666668,-0.3241818181818182,-0.20439999999999997,1.067375,0.19728,-0.3148857142857143,0.2876000000000001,0.4054666666666668,-0.3241818181818182,-0.20439999999999997,0.4879022569098747,0.44875,Predicted
pre_4_ACP_5,1.0655062499999999,0.21097333333333335,-0.3281428571428571,0.24281538461538468,0.46703333333333347,-0.15281818181818183,-0.22649999999999998,1.0655062499999999,0.21097333333333335,-0.3281428571428571,0.24281538461538468,0.46703333333333347,-0.15281818181818183,-0.22649999999999998,0.44928748941321683,0.45687500000000003,Predicted
pre_5_ACP_6,1.161125,0.31423999999999996,-0.18057142857142863,0.28510769230769234,0.3564666666666667,-0.43916363636363637,-0.24339999999999998,1.161125,0.31423999999999996,-0.18057142857142863,0.28510769230769234,0.3564666666666667,-0.43916363636363637,-0.24339999999999998,0.48806178738858674,0.48624999999999996,Predicted
pre_6_ACP_7,1.0977882352941173,0.04930000000000001,-0.29490666666666676,0.18554285714285718,0.658523076923077,-0.31389999999999996,-0.2557818181818183,1.0977882352941173,0.04930000000000001,-0.29490666666666676,0.18554285714285718,0.658523076923077,-0.31389999999999996,-0.2557818181818183,0.4669403105902714,0.4235294117647058,Predicted
pre_7_ACP_8,1.134705882352941,0.06775000000000002,-0.4366666666666667,0.26885714285714285,0.657046153846154,-0.292,-0.4052363636363637,1.134705882352941,0.06775000000000002,-0.4366666666666667,0.26885714285714285,0.657046153846154,-0.292,-0.4052363636363637,0.5036883970558701,0.4129411764705882,Predicted
pre_8_ACP_9,1.127741237113402,-0.15122916666666672,-0.0018694736842105749,0.0048787234042553295,0.05763333333333333,-0.0038999999999999833,-0.10195934065934066,1.127741237113402,-0.15122916666666672,-0.0018694736842105749,0.0048787234042553295,0.05763333333333333,-0.0038999999999999833,-0.10195934065934066,0.2154087258482626,-0.10278350515463919,Predicted
pre_9_ACP_10,0.3820692307692308,-0.058033333333333326,-0.005454545454545459,-0.07862,0.06544444444444447,-0.160275,-0.029714285714285717,0.3820692307692308,-0.058033333333333326,-0.005454545454545459,-0.07862,0.06544444444444447,-0.160275,-0.029714285714285717,0.23979843502296416,0.15153846153846157,Predicted
