nameseq,k-tsallis13.0,k-tsallis23.0,k-tsallis33.0,k-tsallis43.0,k-tsallis53.0,label
pre_0_U00096.3/3982510-3982582,0.46527272587059176,0.4969216177983539,0.4994900967000176,0.4998279883381924,0.499876715706419,Predicted
pre_1_U00096.3/225500-225572,0.4614554119742839,0.4957320601851852,0.4993727490912545,0.49981049562682217,0.4998675835365241,Predicted
pre_2_U00096.3/225381-225454,0.46443201784691923,0.49632021222722916,0.49927662037037035,0.49980022966603427,0.4998542274052478,Predicted
pre_3_U00096.3/262871-262943,0.4677019256227877,0.49688143004115226,0.49950686064412664,0.4998542274052478,0.4998858478763139,Predicted
pre_4_U00096.3/3982375-3982448,0.4563476003395653,0.49562615515517316,0.49945344650205764,0.49980022966603427,0.4998892128279883,Predicted
pre_5_U00096.3/2947387-2947460,0.4588203067932798,0.49555674944796757,0.4993730709876543,0.4998086116380888,0.49987172011661807,Predicted
pre_6_U00096.3/297178-297251,0.46621621621621623,0.49679834043242327,0.49939718364197533,0.4997918476939798,0.49987172011661807,Predicted
pre_7_U00096.3/696740-696667,0.46854085641521726,0.4971530807136963,0.49952578446502055,0.4998421395263068,0.4998804664723032,Predicted
pre_8_U00096.3/925971-925887,0.4620134337472013,0.4966492549400713,0.4994919436783278,0.499827701281177,0.49990121198778414,Predicted
pre_9_U00096.3/2785837-2785765,0.4668459219005853,0.49666441615226337,0.4995403885323446,0.4997930029154519,0.499876715706419,Predicted
