nameseq,Autocorr_w1,Autocorr_w2,Autocorr_w3,Autocorr_w4,Autocorr_w5,Autocorr_w6,Autocorr_w7,Crosscorr_w1,Crosscorr_w2,Crosscorr_w3,Crosscorr_w4,Crosscorr_w5,Crosscorr_w6,Crosscorr_w7,Moment,Global Avg,label
pre_0_U00096.3/3982510-3982582,0.155072602739726,0.08465694444444448,0.07106197183098592,0.08355285714285715,0.08629130434782613,0.09203529411764708,0.1031731343283583,0.155072602739726,0.08465694444444448,0.07106197183098592,0.08355285714285715,0.08629130434782613,0.09203529411764708,0.1031731343283583,0.010110184543672475,0.3009589041095891,Predicted
pre_1_U00096.3/225500-225572,0.16679999999999987,0.11475972222222225,0.11699014084507045,0.0994728571428572,0.11695217391304352,0.11975294117647062,0.11393731343283586,0.16679999999999987,0.11475972222222225,0.11699014084507045,0.0994728571428572,0.11695217391304352,0.11975294117647062,0.11393731343283586,0.01293904454667578,0.3394520547945206,Predicted
pre_2_U00096.3/225381-225454,0.1756513513513512,0.1159260273972603,0.10032361111111114,0.10641830985915497,0.11564428571428577,0.11884202898550729,0.12564558823529418,0.1756513513513512,0.1159260273972603,0.10032361111111114,0.10641830985915497,0.11564428571428577,0.11884202898550729,0.12564558823529418,0.03309387340150641,0.34297297297297297,Predicted
pre_3_U00096.3/262871-262943,0.17488082191780807,0.10089583333333337,0.10115211267605638,0.11325857142857151,0.10525217391304356,0.10812500000000005,0.11379552238805973,0.17488082191780807,0.10089583333333337,0.10115211267605638,0.11325857142857151,0.10525217391304356,0.10812500000000005,0.11379552238805973,0.016747410403954686,0.333013698630137,Predicted
pre_4_U00096.3/3982375-3982448,0.16778378378378364,0.12243287671232882,0.12081527777777776,0.10870140845070425,0.11571857142857149,0.12507391304347829,0.12204558823529418,0.16778378378378364,0.12243287671232882,0.12081527777777776,0.10870140845070425,0.11571857142857149,0.12507391304347829,0.12204558823529418,0.003950550708079723,0.34864864864864864,Predicted
pre_5_U00096.3/2947387-2947460,0.1730486486486485,0.12811095890410962,0.11396666666666667,0.12311830985915496,0.1196771428571429,0.12673333333333342,0.12264558823529415,0.1730486486486485,0.12811095890410962,0.11396666666666667,0.12311830985915496,0.1196771428571429,0.12673333333333342,0.12264558823529415,0.013050086322170761,0.35702702702702704,Predicted
pre_6_U00096.3/297178-297251,0.18185405405405392,0.10503287671232883,0.0944027777777778,0.11183239436619727,0.10015000000000007,0.10960144927536239,0.1178058823529412,0.18185405405405392,0.10503287671232883,0.0944027777777778,0.11183239436619727,0.10015000000000007,0.10960144927536239,0.1178058823529412,0.050106200889427875,0.3327027027027027,Predicted
pre_7_U00096.3/696740-696667,0.17683783783783769,0.10500821917808224,0.09252777777777778,0.11409295774647893,0.11714428571428577,0.11388840579710148,0.11079558823529417,0.17683783783783769,0.10500821917808224,0.09252777777777778,0.11409295774647893,0.11714428571428577,0.11388840579710148,0.11079558823529417,0.03702036807430883,0.3389189189189189,Predicted
pre_8_U00096.3/925971-925887,0.18043529411764683,0.12336666666666665,0.13447108433734936,0.1170256097560976,0.1285086419753087,0.11929625000000002,0.12401645569620255,0.18043529411764683,0.12336666666666665,0.13447108433734936,0.1170256097560976,0.1285086419753087,0.11929625000000002,0.12401645569620255,0.014825185569860325,0.3590588235294118,Predicted
pre_9_U00096.3/2785837-2785765,0.1708931506849314,0.11880555555555561,0.0902338028169014,0.1138771428571429,0.12528260869565225,0.10952058823529416,0.10554626865671649,0.1708931506849314,0.11880555555555561,0.0902338028169014,0.1138771428571429,0.12528260869565225,0.10952058823529416,0.10554626865671649,0.04564543815087635,0.3358904109589041,Predicted
