nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
pre_0_train_ACP_1,29.999999999999996,20.7281835022833,98.0,4.439000767719226,0.16666666666666669,1.0101236115538237,26.381811916545832,27.307769694983982,8.000000000000002,8.000000000000002,20.7281835022833,52.594633521740036,93.56099923228078,745.7142857142854,44.594633521740036,22.297316760870018,0.8793937305515278,1.0543418921012444,0.4447313333119378,acp
pre_1_train_ACP_2,4.000000000000001,4.000000000000001,8.000000000000002,0.0,0.16666666666666663,0.4714045207910316,4.000000000000001,5.6568542494923815,1.2000000000000002,2.0000000000000004,4.000000000000001,6.000000000000002,8.000000000000002,32.000000000000014,4.000000000000002,2.000000000000001,1.0,0.0,0.31250000000000006,acp
pre_2_train_ACP_3,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.16666666666666663,0.4714045207910316,0.0,0.0,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.0,0.0,0.0,0.0,0.0,nan,nan,acp
pre_3_train_ACP_4,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.16666666666666663,0.4714045207910316,0.0,0.0,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.0,0.0,0.0,0.0,0.0,nan,nan,acp
pre_4_train_ACP_5,10.000000000000002,10.000000000000002,22.080588085360812,0.8255820266606354,0.16666666666666666,0.5712373536319989,6.9282032302755105,7.745966692414836,4.448443105447264,6.863683824638351,10.000000000000002,10.230146063340207,21.255006058700175,60.00000000000003,3.366462238701856,1.683231119350928,0.6928203230275509,0.0,0.11938157739041902,acp
pre_5_train_ACP_6,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.16666666666666663,0.4714045207910316,0.0,0.0,8.000000000000002,8.000000000000002,8.000000000000002,8.000000000000002,0.0,0.0,0.0,0.0,0.0,nan,nan,acp
pre_6_train_ACP_7,9.999999999999998,3.055728090000841,20.944271909999156,2.0000000000000004,0.1666666666666667,0.5925578627795582,8.944271909999157,9.999999999999998,2.6334368540005046,3.055728090000841,3.055728090000841,20.944271909999156,18.944271909999156,99.99999999999997,17.888543819998315,8.944271909999157,0.8944271909999159,2.329179606750063,0.48290040182123384,acp
pre_7_train_ACP_8,5.999999999999999,7.999999999999998,7.999999999999998,2.0000000000000004,0.16666666666666669,0.42426406871192857,2.828427124746189,3.4641016151377535,3.8,4.999999999999999,7.999999999999998,7.999999999999998,5.999999999999998,11.999999999999991,2.999999999999999,1.4999999999999996,0.47140452079103157,-2.1213203435596424,0.31250000000000006,acp
pre_8_train_ACP_9,66.0,53.08659632254267,249.55448789363135,0.18903129260519308,0.16666666666666666,1.5132608200524658,60.13318551349162,61.06553856308809,12.560444831514085,29.856406460551007,53.08659632254267,81.43004871639816,249.36545660102615,3728.999999999999,51.573642255847155,25.786821127923577,0.9111088714165396,0.644240126338894,0.21219026754535392,acp
pre_9_train_ACP_10,10.000000000000002,0.0,50.00000000000001,0.0,0.16666666666666666,1.1785113019775793,20.000000000000004,22.3606797749979,0.0,0.0,0.0,0.0,50.00000000000001,500.00000000000017,0.0,0.0,2.0,1.5,0.0,acp
