nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
pre_0_90534|0.66128017,117.99999999999999,71.09377507350172,538.0,2.858077275592005,0.16666666666666669,2.078770706316805,127.15345060201865,128.24491654911571,19.41282536415956,27.617828254490405,71.09377507350172,152.5316399976904,535.141922724408,16446.758620689652,124.9138117432,62.4569058716,1.0775716152713446,1.1066838855984675,0.23147647348268885,toeholds
pre_1_90535|0.6175931410000001,118.00000000000003,63.27816700547784,562.7030152083923,0.6469732146820365,0.16666666666666663,2.115165435890514,129.76902558006665,130.88294322632802,13.116884144794529,22.560441597119944,63.27816700547784,160.08708339238893,562.0560419937103,17130.344827586207,137.526641795269,68.7633208976345,1.099737504915819,1.2650591945939944,0.2382646274522363,toeholds
pre_2_90536|0.666666667,118.0,87.73111491819651,635.6801552284898,1.3903258990463683,0.16666666666666669,2.0322346999042344,112.88932633336067,113.85835119977381,18.82962345817033,33.47482753179449,87.73111491819651,174.90101809677878,634.2898293294434,12963.724137931033,141.4261905649843,70.71309528249215,0.9566892062149209,0.8043865456089234,0.33416794770285163,toeholds
pre_3_90537|0.623447442,118.00000000000004,57.09191376685204,810.9989224306153,1.9449196303463998,0.16666666666666663,2.1408484402692767,162.99693248647353,164.39607344920756,18.67328132374273,23.694745182831127,57.09191376685204,136.9574425047315,809.0540028002689,27026.068965517246,113.26269732190036,56.63134866095018,1.3813299363260463,1.1210288188374808,0.21132867910488645,toeholds
pre_4_90538|1.0,118.0,69.39166185291313,978.0480560503645,2.0287591202213493,0.16666666666666669,2.0880779296501557,150.65191668213183,151.94508990035703,18.63526026949451,32.16633606678721,69.39166185291313,154.5487923854352,976.0192969301431,23087.310344827583,122.382456318648,61.191228159324,1.276711158323151,0.9679599015586655,0.2498945474574821,toeholds
pre_5_90539|0.335784494,118.00000000000001,68.63642567306239,656.4076533936887,0.14291613701305134,0.16666666666666666,2.1058799780446007,142.46403054806498,143.68692019276756,19.114491545329255,37.43595519958852,68.63642567306239,139.39380708622295,656.2647372566757,20645.931034482754,101.95785188663443,50.978925943317215,1.2073222927802116,1.0394955302829898,0.19192083979721694,toeholds
pre_6_90540|0.5620426470000001,117.99999999999997,81.2200586199276,801.0239779657428,1.014844499280718,0.1666666666666667,2.0835030073700014,146.56056768449005,147.81862138305243,19.299910743514125,37.429084446287185,81.2200586199276,126.67549091184486,800.0091334664621,21850.344827586203,89.24640646555767,44.623203232778835,1.242038709190594,0.7528616044784464,0.2003031849910515,toeholds
pre_7_90541|0.6655104270000001,118.00000000000003,76.94019307426397,937.2393912542929,0.6587238444975622,0.16666666666666663,2.1066782235052006,151.28780519261954,152.58643678143602,17.207957484802954,28.976014504294792,76.94019307426397,138.00454852763554,936.5806674097953,23282.620689655167,109.02853402334074,54.51426701167037,1.2821000440052501,0.8142058814348995,0.2663307744674258,toeholds
pre_8_90542|0.649616176,118.00000000000003,72.70902179382854,866.0,1.0472877669912348,0.16666666666666663,2.120341483985818,149.47909552843834,150.7622014276468,11.638951752467996,30.84522341722092,72.70902179382854,133.2492912973376,864.9527122330088,22729.241379310344,102.40406788011668,51.20203394005834,1.2667719960037145,0.9089761624404846,0.19205350052241005,toeholds
pre_9_90543|0.712748525,118.0,64.17288799635247,770.6578223544008,0.20917099432460162,0.16666666666666669,2.109093013026499,140.4279174523357,141.63332941084172,12.573021973343698,31.631385823936192,64.17288799635247,160.5960858423217,770.4486513600762,20060.0,128.9647000183855,64.48235000919276,1.1900670970536924,1.1499233125475417,0.24536708029829196,toeholds
